Time	Read_ID	Status
2023-10-29 20:02:37.129172	95ba0954-813a-41ef-abae-98883dbdab61	loaded.
2023-10-29 20:02:37.657738	2ebdec2d-efef-475b-aec7-a42afd2cf61b	loaded.
2023-10-29 20:02:39.821527	178417c9-95da-4972-b3ef-e1a9e94d0a7c	loaded.
2023-10-29 20:02:39.821622	71f15970-6fcb-4f82-83a7-c8f67af6d0a9	loaded.
2023-10-29 20:02:39.826247	13c45ca1-b5f4-4cbe-a727-34b91f7c72ca	loaded.
2023-10-29 20:02:39.947286	05b429e8-798c-4736-8583-49e3a65b4c8a	loaded.
2023-10-29 20:02:39.962699	33df3d1b-037c-4168-8f88-1d7470e38c1c	loaded.
2023-10-29 20:02:40.557137	62c1414e-89b6-470c-a044-ac818ae23864	loaded.
2023-10-29 20:02:40.848042	b0641aa3-8181-4df9-853b-c076dbbd28b4	loaded.
2023-10-29 20:02:41.364608	9148f4a3-16c7-4675-8c71-c01840b59b6a	loaded.
2023-10-29 20:02:41.364747	b8038405-8a18-4616-914c-a84727a8672f	loaded.
2023-10-29 20:02:41.364885	6c12d953-844a-4d0c-aa54-9816a3bc5541	loaded.
2023-10-29 20:02:41.567400	ff210f1b-c21d-4ef3-9045-3e28ff91710d	loaded.
2023-10-29 20:02:42.958283	a18c659b-8c7e-4272-b1a4-f1000d3d6a54	loaded.
2023-10-29 20:02:42.958404	01153dea-6fbb-40db-beaf-20bfea423b6e	loaded.
2023-10-29 20:02:42.958504	a2e52769-9ac6-46d4-a7be-733061eb0863	loaded.
2023-10-29 20:02:43.071296	e2d8301d-91c7-4188-ba8f-f64b89ba639f	loaded.
2023-10-29 20:02:43.900584	3754a060-c931-4f0f-bbc1-2273e790c2f2	loaded.
2023-10-29 20:02:43.900697	5ec7e780-1ff7-40d8-8cf7-99784c74a585	loaded.
2023-10-29 20:02:43.900839	61cb76e2-a17d-4373-aa84-904a277a5861	loaded.
2023-10-29 20:02:43.912988	d67669b8-2455-4550-80df-2633fd343def	loaded.
2023-10-29 20:02:43.913058	57b6a188-a0e5-4dc4-b6c3-3d604e7dcc58	loaded.
2023-10-29 20:02:43.913110	972f59d4-a261-496e-95fa-ef209d9e13f3	loaded.
2023-10-29 20:02:44.055355	a3e8c47f-6c1a-4b73-955b-42f07e5a5dc0	loaded.
2023-10-29 20:02:44.772297	34d552ef-e526-4f74-9002-a7b7fb3d6919	loaded.
2023-10-29 20:02:44.772422	b3da50aa-0eb8-4df7-adf0-1146693f02c0	loaded.
2023-10-29 20:02:44.772500	aa8d37bc-3041-44cf-983b-2e23909f5094	loaded.
2023-10-29 20:02:45.333245	481ffb00-229a-46ed-a6e0-812cd9a9194f	loaded.
2023-10-29 20:02:45.333319	151e9d5a-954f-4745-acae-d9bd86b0bdd9	loaded.
2023-10-29 20:02:45.333389	8767ce70-1494-47e4-95a7-468e4466e411	loaded.
2023-10-29 20:02:45.333481	7fe14c44-5fcf-4a16-adb4-a96c1e2bec4d	loaded.
2023-10-29 20:02:45.380471	be98b930-dd3a-4e60-a7ed-1e5f94a306bf	loaded.
2023-10-29 20:02:45.799029	3c55af80-fa12-45f2-835b-274a792ac5d5	loaded.
2023-10-29 20:02:45.861270	92363783-0067-497a-a47c-860c1f2605d6	loaded.
2023-10-29 20:02:45.978273	e85666e6-a29f-4490-91b6-bdccaae3c52c	loaded.
2023-10-29 20:02:46.492412	337267c0-71b2-4f50-acdb-8a79b9f4e243	loaded.
2023-10-29 20:02:46.908369	aeacfc96-64e5-444b-81d0-045597be4970	loaded.
2023-10-29 20:02:46.934538	10f4cf9b-d600-4eae-9594-1934590d19c6	loaded.
2023-10-29 20:02:46.934673	04fda25a-acea-4096-8572-5cbf6919bcbb	loaded.
2023-10-29 20:02:46.993311	225d8c40-5641-40b5-b035-f11f5cf3a855	loaded.
2023-10-29 20:02:47.369800	89af996f-c3fd-4360-9645-fb39c356c475	loaded.
2023-10-29 20:02:47.469507	773ae6f1-044b-46dd-94e0-e8a483ff50d5	loaded.
2023-10-29 20:02:49.003103	0aa37cdf-61e4-415e-b7b6-f7213e6d993b	loaded.
2023-10-29 20:02:49.003184	8abebfc8-3325-4c04-a55d-853e05d029b3	loaded.
2023-10-29 20:02:49.003265	c74eab03-b7b6-4bfb-98c1-e557c6cf3a83	loaded.
2023-10-29 20:02:49.003333	27d263f8-7f88-4ab7-a05d-a4c5b1c1298e	loaded.
2023-10-29 20:02:49.699442	27bc95ae-4d0d-4a5d-9659-32449dbecd2b	loaded.
2023-10-29 20:02:49.726717	94e18764-92c1-4753-ad58-766b7ff03e1d	loaded.
2023-10-29 20:02:49.726841	0e331771-82d8-4c23-ae18-f4cb2a886fe6	loaded.
2023-10-29 20:02:50.035326	e1c5285a-7a4a-4dbe-8147-5b4342b0a3a6	loaded.
2023-10-29 20:02:50.526190	530075f7-42f5-4c8f-a4d9-87921ba1e971	loaded.
2023-10-29 20:02:50.755194	8c37af5d-7b4a-4937-a03a-20d2b5939afd	loaded.
2023-10-29 20:02:50.795057	49470ffa-7d0b-41c3-95e0-3a4fc59e9632	loaded.
2023-10-29 20:02:51.591571	1eb08d19-ced5-4396-ab6a-81dc1a99dd23	loaded.
2023-10-29 20:02:51.837037	df6650a1-5221-4451-8035-9bc143e82781	loaded.
2023-10-29 20:02:52.024554	9453ae1f-275f-42ed-a150-5b2861638e0e	loaded.
2023-10-29 20:02:52.125652	b8edabce-bb41-4754-88e7-88ba7575343f	loaded.
2023-10-29 20:02:52.125849	a5a7c202-094f-4225-bde6-2f8abfab1962	loaded.
2023-10-29 20:02:52.554499	e5bf4800-f44b-410b-814c-73f91d14f308	loaded.
2023-10-29 20:02:52.554848	bc5a5238-37ff-4dfa-8961-e0d87b671883	loaded.
2023-10-29 20:02:52.910146	f5d4faa1-8c4e-4e51-9885-db8d6b4e42a2	loaded.
2023-10-29 20:02:52.910292	4fe48a2e-1f89-42a3-93a3-631112d4df18	loaded.
2023-10-29 20:02:52.952200	7c76e8e2-63f7-42cd-be51-f2f6378a4be5	loaded.
2023-10-29 20:02:53.266882	790ac44f-2a8e-4a3d-9364-d9f6ebbbf38b	loaded.
2023-10-29 20:02:53.284186	02f03554-c164-45e4-a218-ea17eb3245d0	loaded.
2023-10-29 20:02:53.630674	fcf4cfdc-be2d-4f3a-aecd-9adead68b588	loaded.
2023-10-29 20:02:53.630748	031b3a2b-9b07-4dd1-9900-b32e2c36d1e9	loaded.
2023-10-29 20:02:53.630805	2b025132-d9bd-411c-8123-b754a7b5f03f	loaded.
2023-10-29 20:02:53.630859	6d0130c6-55c2-41ad-af99-9224eaae4480	loaded.
2023-10-29 20:02:53.645873	adbbcde3-ed6c-4e32-be95-78532dc5d9e8	loaded.
2023-10-29 20:02:54.468807	f88b4b7f-36e7-4fae-a0b3-9e94c91fdfde	loaded.
2023-10-29 20:02:55.252902	a3408b45-755d-4e71-b842-fa87edde3edb	loaded.
2023-10-29 20:02:55.337721	66ab8560-4cf7-4d60-b625-414b793b87a3	loaded.
2023-10-29 20:02:55.475217	757adc9a-70cd-430c-be1c-77a2482c018d	loaded.
2023-10-29 20:02:55.777574	964e760c-8303-41cb-82bc-20dc51b6bbf0	loaded.
2023-10-29 20:02:55.964329	d9b09fd0-18b9-43a9-ae79-c4d4ba707979	loaded.
2023-10-29 20:02:55.964461	ffd20387-4a49-4db9-9688-7173ac3e8560	loaded.
2023-10-29 20:02:56.094013	6a5f9f43-19c6-4e6d-bcc3-ac19c1f073eb	loaded.
2023-10-29 20:02:56.217213	2159efa9-f6d2-4aa6-b784-91ac35766a00	loaded.
2023-10-29 20:02:56.458011	875f583e-45dc-43fe-92fa-a4f8987a0434	loaded.
2023-10-29 20:02:56.736047	fb8b8a64-b1ed-48a7-ad76-ba2b7a1c3499	loaded.
2023-10-29 20:02:58.182526	bb261f1f-d788-4e95-a35e-933b9be50f93	loaded.
2023-10-29 20:02:58.411135	2d1c68ed-7766-41ae-a134-72c728949418	loaded.
2023-10-29 20:02:58.763497	5a70c01c-915f-46ce-95db-c09200d9d587	loaded.
2023-10-29 20:02:59.009163	fdf79148-2767-4c88-81ad-b8cfa376633a	loaded.
2023-10-29 20:02:59.009246	052e2209-c25f-49a8-87c5-cf3ea0ed0212	loaded.
2023-10-29 20:02:59.349949	64ab3dc1-55ee-4bbb-9259-1622e0ba2780	loaded.
2023-10-29 20:02:59.377022	40baa180-fbaa-496a-adac-b0f1ea7f2d8a	loaded.
2023-10-29 20:02:59.377146	babe6f27-c670-4b8d-a847-29f5b6fe15e4	loaded.
2023-10-29 20:03:01.058219	401bb690-36b5-49c5-ab2b-c6a84e100bd5	loaded.
2023-10-29 20:03:01.058340	744bf0c6-960a-49d7-bb05-2e0df6a30c6c	loaded.
